DATE_OF_INTEREST,CASE_COUNT,HOSPITALIZED_COUNT,DEATH_COUNT,Publisher
02/29/2020,1,11,0,City of New York
03/01/2020,0,4,0,City of New York
03/02/2020,0,22,0,City of New York
03/03/2020,2,20,0,City of New York
03/04/2020,5,22,0,City of New York
03/05/2020,3,20,0,City of New York
03/06/2020,8,18,0,City of New York
03/07/2020,7,15,0,City of New York
03/08/2020,21,18,0,City of New York
03/09/2020,58,49,0,City of New York
03/10/2020,70,63,0,City of New York
03/11/2020,155,90,1,City of New York
03/12/2020,357,92,0,City of New York
03/13/2020,620,157,0,City of New York
03/14/2020,644,159,2,City of New York
03/15/2020,1037,189,5,City of New York
03/16/2020,2123,317,8,City of New York
03/17/2020,2455,359,8,City of New York
03/18/2020,2984,472,21,City of New York
03/19/2020,3713,559,24,City of New York
03/20/2020,4014,665,47,City of New York
03/21/2020,2640,700,44,City of New York
03/22/2020,2580,725,50,City of New York
03/23/2020,3571,1037,82,City of New York
03/24/2020,4507,1153,95,City of New York
03/25/2020,4864,1303,123,City of New York
03/26/2020,5051,1454,190,City of New York
03/27/2020,5128,1392,218,City of New York
03/28/2020,3478,1364,273,City of New York
03/29/2020,3560,1406,292,City of New York
03/30/2020,6131,1717,326,City of New York
03/31/2020,5473,1695,384,City of New York
04/01/2020,5464,1587,447,City of New York
04/02/2020,5768,1618,499,City of New York
04/03/2020,5676,1601,498,City of New York
04/04/2020,3869,1344,510,City of New York
04/05/2020,3794,1328,580,City of New York
04/06/2020,6378,1724,576,City of New York
04/07/2020,6065,1605,597,City of New York
04/08/2020,5585,1541,568,City of New York
04/09/2020,5074,1429,561,City of New York
04/10/2020,4521,1336,539,City of New York
04/11/2020,3733,1097,543,City of New York
04/12/2020,2889,995,573,City of New York
04/13/2020,3311,1214,571,City of New York
04/14/2020,4148,1088,512,City of New York
04/15/2020,3878,982,454,City of New York
04/16/2020,3528,883,413,City of New York
04/17/2020,3581,903,384,City of New York
04/18/2020,2171,663,392,City of New York
04/19/2020,2346,593,399,City of New York
04/20/2020,3793,725,364,City of New York
04/21/2020,3063,661,323,City of New York
04/22/2020,3464,599,312,City of New York
04/23/2020,2844,533,332,City of New York
04/24/2020,2538,550,316,City of New York
04/25/2020,1595,403,265,City of New York
04/26/2020,1003,376,247,City of New York
04/27/2020,2297,444,271,City of New York
04/28/2020,2731,444,228,City of New York
04/29/2020,2342,408,240,City of New York
04/30/2020,2024,345,222,City of New York
05/01/2020,1889,352,209,City of New York
05/02/2020,1060,263,192,City of New York
05/03/2020,784,256,178,City of New York
05/04/2020,1550,309,159,City of New York
05/05/2020,1513,283,151,City of New York
05/06/2020,1402,257,150,City of New York
05/07/2020,1235,252,142,City of New York
05/08/2020,1086,253,131,City of New York
05/09/2020,658,182,100,City of New York
05/10/2020,460,153,102,City of New York
05/11/2020,1233,246,103,City of New York
05/12/2020,1285,203,91,City of New York
05/13/2020,1337,224,83,City of New York
05/14/2020,1112,214,70,City of New York
05/15/2020,876,231,86,City of New York
05/16/2020,488,164,83,City of New York
05/17/2020,359,122,77,City of New York
05/18/2020,901,175,57,City of New York
05/19/2020,1005,201,54,City of New York
05/20/2020,1072,164,81,City of New York
05/21/2020,1071,172,45,City of New York
05/22/2020,1061,194,64,City of New York
05/23/2020,465,129,60,City of New York
05/24/2020,480,119,49,City of New York
05/25/2020,468,139,49,City of New York
05/26/2020,1055,149,37,City of New York
05/27/2020,753,159,49,City of New York
05/28/2020,639,139,38,City of New York
05/29/2020,644,159,43,City of New York
05/30/2020,349,96,54,City of New York
05/31/2020,217,90,39,City of New York
06/01/2020,666,124,34,City of New York
06/02/2020,577,124,38,City of New York
06/03/2020,513,115,42,City of New York
06/04/2020,513,89,32,City of New York
06/05/2020,408,64,27,City of New York
06/06/2020,247,47,35,City of New York
06/07/2020,198,46,24,City of New York
06/08/2020,445,62,41,City of New York
06/09/2020,424,51,33,City of New York
06/10/2020,367,45,31,City of New York
06/11/2020,358,41,21,City of New York
06/12/2020,411,55,23,City of New York
06/13/2020,196,29,14,City of New York
06/14/2020,185,42,24,City of New York
06/15/2020,377,48,20,City of New York
06/16/2020,425,50,19,City of New York
06/17/2020,351,41,20,City of New York
06/18/2020,371,39,17,City of New York
06/19/2020,356,41,17,City of New York
06/20/2020,204,27,19,City of New York
06/21/2020,176,34,28,City of New York
06/22/2020,393,42,25,City of New York
06/23/2020,379,42,27,City of New York
06/24/2020,381,37,25,City of New York
06/25/2020,297,37,19,City of New York
06/26/2020,312,34,20,City of New York
06/27/2020,208,37,21,City of New York
06/28/2020,199,32,19,City of New York
06/29/2020,439,38,25,City of New York
06/30/2020,443,37,24,City of New York
07/01/2020,396,30,12,City of New York
07/02/2020,413,31,25,City of New York
07/03/2020,228,23,24,City of New York
07/04/2020,118,22,14,City of New York
07/05/2020,152,24,17,City of New York
07/06/2020,434,42,18,City of New York
07/07/2020,457,41,13,City of New York
07/08/2020,440,31,20,City of New York
07/09/2020,391,41,10,City of New York
07/10/2020,304,36,10,City of New York
07/11/2020,249,29,13,City of New York
07/12/2020,208,17,11,City of New York
07/13/2020,432,45,17,City of New York
07/14/2020,346,31,9,City of New York
07/15/2020,322,23,14,City of New York
07/16/2020,314,31,10,City of New York
07/17/2020,314,43,14,City of New York
07/18/2020,138,26,10,City of New York
07/19/2020,111,28,6,City of New York
07/20/2020,257,31,11,City of New York
07/21/2020,229,21,10,City of New York
07/22/2020,196,28,4,City of New York
07/23/2020,160,28,7,City of New York
07/24/2020,142,22,5,City of New York
07/25/2020,53,5,5,City of New York
07/26/2020,34,3,1,City of New York
07/27/2020,10,0,0,City of New York
